Model Number,Transformation,Proportion,K,Time Limit,Optimizer Distance,Model,WCSS,WCSS Raw,Silhouette,Silhouette Raw
298,scaled,0.75,4,90,euclidean,Base,203.978,322970.137,0.565,0.225
299,scaled,0.75,4,90,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
300,scaled,0.75,4,90,euclidean,Optimal with Warm Start,203.978,322970.137,0.565,0.225
301,scaled,0.75,4,180,manhattan,Base,1191.831,398424.615,0.565,0.225
302,scaled,0.75,4,180,manhattan,Optimal without Warm Start,5936.008,440385.730,-0.302,-0.302
303,scaled,0.75,4,180,manhattan,Optimal with Warm Start,1191.831,398424.615,0.565,0.225
304,scaled,0.75,4,180,euclidean,Base,203.978,322970.137,0.565,0.225
305,scaled,0.75,4,180,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
306,scaled,0.75,4,180,euclidean,Optimal with Warm Start,203.978,322970.137,0.565,0.225
307,scaled,0.75,5,30,manhattan,Base,1010.673,397357.998,0.511,0.094
308,scaled,0.75,5,30,manhattan,Optimal without Warm Start,33084.329,580170.499,0.181,0.172
309,scaled,0.75,5,30,manhattan,Optimal with Warm Start,1010.673,397357.998,0.511,0.094
310,scaled,0.75,5,30,euclidean,Base,175.899,322876.814,0.511,0.094
311,scaled,0.75,5,30,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
312,scaled,0.75,5,30,euclidean,Optimal with Warm Start,175.899,322876.814,0.511,0.094
313,scaled,0.75,5,90,manhattan,Base,1010.673,397357.998,0.511,0.094
314,scaled,0.75,5,90,manhattan,Optimal without Warm Start,5795.327,440023.735,-0.302,-0.437
315,scaled,0.75,5,90,manhattan,Optimal with Warm Start,1010.673,397357.998,0.511,0.094
316,scaled,0.75,5,90,euclidean,Base,175.899,322876.814,0.511,0.094
317,scaled,0.75,5,90,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
318,scaled,0.75,5,90,euclidean,Optimal with Warm Start,175.899,322876.814,0.511,0.094
319,scaled,0.75,5,180,manhattan,Base,1010.673,397357.998,0.511,0.094
320,scaled,0.75,5,180,manhattan,Optimal without Warm Start,6165.952,432834.937,-0.121,-0.280
321,scaled,0.75,5,180,manhattan,Optimal with Warm Start,1010.673,397357.998,0.511,0.094
322,scaled,0.75,5,180,euclidean,Base,175.899,322876.814,0.511,0.094
323,scaled,0.75,5,180,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
324,scaled,0.75,5,180,euclidean,Optimal with Warm Start,175.899,322876.814,0.511,0.094
