Model Number,Transformation,Proportion,K,Time Limit,Optimizer Distance,Model,WCSS,WCSS Raw,Silhouette,Silhouette Raw
70,normalized,0.25,3,180,euclidean,Base,2733.751,135633.343,0.563,0.405
71,normalized,0.25,3,180,euclidean,Optimal without Warm Start,3898.794,138571.585,0.298,0.096
72,normalized,0.25,3,180,euclidean,Optimal with Warm Start,2733.751,135633.343,0.563,0.405
73,normalized,0.25,4,30,manhattan,Base,12712.332,292504.038,0.426,0.186
74,normalized,0.25,4,30,manhattan,Optimal without Warm Start,62163.730,269811.148,0.068,0.038
75,normalized,0.25,4,30,manhattan,Optimal with Warm Start,12712.332,292504.038,0.426,0.186
76,normalized,0.25,4,30,euclidean,Base,2200.366,135432.113,0.426,0.186
77,normalized,0.25,4,30,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
78,normalized,0.25,4,30,euclidean,Optimal with Warm Start,2200.366,135432.113,0.426,0.186
79,normalized,0.25,4,90,manhattan,Base,12712.332,292504.038,0.426,0.186
80,normalized,0.25,4,90,manhattan,Optimal without Warm Start,23770.254,282362.908,0.523,0.446
81,normalized,0.25,4,90,manhattan,Optimal with Warm Start,12651.415,288367.793,0.427,0.187
82,normalized,0.25,4,90,euclidean,Base,2200.366,135432.113,0.426,0.186
83,normalized,0.25,4,90,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
84,normalized,0.25,4,90,euclidean,Optimal with Warm Start,2200.366,135432.113,0.426,0.186
85,normalized,0.25,4,180,manhattan,Base,12712.332,292504.038,0.426,0.186
86,normalized,0.25,4,180,manhattan,Optimal without Warm Start,23770.254,282362.908,0.523,0.446
87,normalized,0.25,4,180,manhattan,Optimal with Warm Start,12162.226,292161.812,0.429,0.186
88,normalized,0.25,4,180,euclidean,Base,2200.366,135432.113,0.426,0.186
89,normalized,0.25,4,180,euclidean,Optimal without Warm Start,3689.126,135314.253,0.171,0.022
90,normalized,0.25,4,180,euclidean,Optimal with Warm Start,2200.366,135432.113,0.426,0.186
91,normalized,0.25,5,30,manhattan,Base,11634.929,292363.997,0.400,0.186
92,normalized,0.25,5,30,manhattan,Optimal without Warm Start,63604.643,254995.522,0.157,0.145
93,normalized,0.25,5,30,manhattan,Optimal with Warm Start,11699.940,284988.481,0.402,0.187
94,normalized,0.25,5,30,euclidean,Base,1882.952,133723.309,0.400,0.186
95,normalized,0.25,5,30,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
96,normalized,0.25,5,30,euclidean,Optimal with Warm Start,1882.952,133723.309,0.400,0.186
97,normalized,0.25,5,90,manhattan,Base,11634.929,292363.997,0.400,0.186
98,normalized,0.25,5,90,manhattan,Optimal without Warm Start,36925.729,221107.851,0.293,0.221
99,normalized,0.25,5,90,manhattan,Optimal with Warm Start,10771.392,286116.131,0.372,0.135
100,normalized,0.25,5,90,euclidean,Base,1882.952,133723.309,0.400,0.186
101,normalized,0.25,5,90,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
102,normalized,0.25,5,90,euclidean,Optimal with Warm Start,1882.952,133723.309,0.400,0.186
103,normalized,0.25,5,180,manhattan,Base,11634.929,292363.997,0.400,0.186
104,normalized,0.25,5,180,manhattan,Optimal without Warm Start,26352.431,266344.549,0.264,0.208
105,normalized,0.25,5,180,manhattan,Optimal with Warm Start,10771.000,286088.240,0.372,0.134
106,normalized,0.25,5,180,euclidean,Base,1882.952,133723.309,0.400,0.186
107,normalized,0.25,5,180,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
108,normalized,0.25,5,180,euclidean,Optimal with Warm Start,1882.952,133723.309,0.400,0.186
109,normalized,0.75,3,30,manhattan,Base,50793.688,774874.793,0.511,0.273
110,normalized,0.75,3,30,manhattan,Optimal without Warm Start,109168.897,710175.576,0.675,0.656
111,normalized,0.75,3,30,manhattan,Optimal with Warm Start,50793.688,774874.793,0.511,0.273
112,normalized,0.75,3,30,euclidean,Base,8439.890,352840.600,0.511,0.273
113,normalized,0.75,3,30,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
114,normalized,0.75,3,30,euclidean,Optimal with Warm Start,8439.890,352840.600,0.511,0.273
115,normalized,0.75,3,90,manhattan,Base,50793.688,774874.793,0.511,0.273
116,normalized,0.75,3,90,manhattan,Optimal without Warm Start,109168.897,710175.576,0.675,0.656
117,normalized,0.75,3,90,manhattan,Optimal with Warm Start,49882.528,764024.192,0.512,0.274
118,normalized,0.75,3,90,euclidean,Base,8439.890,352840.600,0.511,0.273
119,normalized,0.75,3,90,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
120,normalized,0.75,3,90,euclidean,Optimal with Warm Start,8439.890,352840.600,0.511,0.273
121,normalized,0.75,3,180,manhattan,Base,50793.688,774874.793,0.511,0.273
