DatasetName,proportion,k,time_limit,distance,case,WCSS,WCSS_RAW,Silhouette,Silhouette_RAW
normalized,0.1,3,30,manhattan,Base,87.5533839248186,13315.386028227042,0.7544114784226779,0.6686284186250135
normalized,0.1,3,30,manhattan,Optimal without Warm Start,66.27504081080909,13123.661742558594,0.6406035422628177,0.44894552570660123
normalized,0.1,3,30,manhattan,Optimal with Warm Start,65.59808779017092,13154.024576408961,0.6406035422628177,0.44894552570660123
normalized,0.1,3,30,euclidean,Base,15.91090314465691,5834.093897823534,0.7544114784226779,0.6686284186250135
normalized,0.1,3,30,euclidean,Optimal without Warm Start,14.361088943102,5830.087745704844,0.5509972845060694,0.6415272047291533
normalized,0.1,3,30,euclidean,Optimal with Warm Start,14.361088953438767,5830.083803557383,0.6015437155434552,0.7295527384449395
normalized,0.1,3,90,manhattan,Base,87.5533839248186,13315.386028227042,0.7544114784226779,0.6686284186250135
normalized,0.1,3,90,manhattan,Optimal without Warm Start,66.27504081080909,13123.661742558594,0.6406035422628177,0.44894552570660123
normalized,0.1,3,90,manhattan,Optimal with Warm Start,65.59808779017092,13154.024576408961,0.6406035422628177,0.44894552570660123
normalized,0.1,3,90,euclidean,Base,15.91090314465691,5834.093897823534,0.7544114784226779,0.6686284186250135
normalized,0.1,3,90,euclidean,Optimal without Warm Start,14.361088943102,5830.087745704844,0.5509972845060694,0.6415272047291533
normalized,0.1,3,90,euclidean,Optimal with Warm Start,14.361088953438767,5830.083803557383,0.6015437155434552,0.7295527384449395
normalized,0.1,3,180,manhattan,Base,87.5533839248186,13315.386028227042,0.7544114784226779,0.6686284186250135
normalized,0.1,3,180,manhattan,Optimal without Warm Start,66.27504081080909,13123.661742558594,0.6406035422628177,0.44894552570660123
normalized,0.1,3,180,manhattan,Optimal with Warm Start,65.59808779017092,13154.024576408961,0.6406035422628177,0.44894552570660123
normalized,0.1,3,180,euclidean,Base,15.91090314465691,5834.093897823534,0.7544114784226779,0.6686284186250135
normalized,0.1,3,180,euclidean,Optimal without Warm Start,14.361088943102,5830.087745704844,0.5509972845060694,0.6415272047291533
normalized,0.1,3,180,euclidean,Optimal with Warm Start,14.361088953438767,5830.083803557383,0.6015437155434552,0.7295527384449395
normalized,0.1,4,30,manhattan,Base,69.13034536653285,13066.929651497998,0.8576618885180792,0.7970149337095729
normalized,0.1,4,30,manhattan,Optimal without Warm Start,45.09738920938068,12985.148941237863,0.8239502073187852,0.66006483446742
normalized,0.1,4,30,manhattan,Optimal with Warm Start,45.09738920940476,12985.148941238414,0.8239502073187852,0.66006483446742
normalized,0.1,4,30,euclidean,Base,12.640861158445398,5819.650893912674,0.8576618885180792,0.7970149337095729
normalized,0.1,4,30,euclidean,Optimal without Warm Start,10.047453529727692,5808.540315580422,0.6356748615100425,0.7097031975936
normalized,0.1,4,30,euclidean,Optimal with Warm Start,10.047376762460361,5808.347837291295,0.5451528153133033,0.6353972512880783
normalized,0.1,4,90,manhattan,Base,69.13034536653285,13066.929651497998,0.8576618885180792,0.7970149337095729
normalized,0.1,4,90,manhattan,Optimal without Warm Start,45.09738920938068,12985.148941237863,0.8239502073187852,0.66006483446742
normalized,0.1,4,90,manhattan,Optimal with Warm Start,45.09738920940476,12985.148941238414,0.8239502073187852,0.66006483446742
normalized,0.1,4,90,euclidean,Base,12.640861158445398,5819.650893912674,0.8576618885180792,0.7970149337095729
normalized,0.1,4,90,euclidean,Optimal without Warm Start,10.047453529727692,5808.540315580422,0.6356748615100425,0.7097031975936
normalized,0.1,4,90,euclidean,Optimal with Warm Start,10.047376762460361,5808.347837291295,0.5451528153133033,0.6353972512880783
normalized,0.1,4,180,manhattan,Base,69.13034536653285,13066.929651497998,0.8576618885180792,0.7970149337095729
normalized,0.1,4,180,manhattan,Optimal without Warm Start,45.09738920938068,12985.148941237863,0.8239502073187852,0.66006483446742
normalized,0.1,4,180,manhattan,Optimal with Warm Start,45.09738920940476,12985.148941238414,0.8239502073187852,0.66006483446742
normalized,0.1,4,180,euclidean,Base,12.640861158445398,5819.650893912674,0.8576618885180792,0.7970149337095729
normalized,0.1,4,180,euclidean,Optimal without Warm Start,10.047453529727692,5808.540315580422,0.6356748615100425,0.7097031975936
normalized,0.1,4,180,euclidean,Optimal with Warm Start,10.047376762460361,5808.347837291295,0.5451528153133033,0.6353972512880783
normalized,0.1,5,30,manhattan,Base,50.352921271281375,12976.96527220848,0.8576618885180792,0.7970149337095729
normalized,0.1,5,30,manhattan,Optimal without Warm Start,27.527590396361628,12759.212069103105,0.7726060478902946,0.7226416381316592
normalized,0.1,5,30,manhattan,Optimal with Warm Start,27.280909425412712,12592.705048585798,0.7726060478902946,0.7226416381316592
normalized,0.1,5,30,euclidean,Base,9.399917101425572,5805.7183835494325,0.8576618885180792,0.7970149337095729
normalized,0.1,5,30,euclidean,Optimal without Warm Start,7.118751579434166,5813.556384300664,0.6920254882675636,0.43571253837048507
normalized,0.1,5,30,euclidean,Optimal with Warm Start,7.118736891955581,5813.47149999425,0.6140596411618672,0.3696678977088571
normalized,0.1,5,90,manhattan,Base,50.352921271281375,12976.96527220848,0.8576618885180792,0.7970149337095729
normalized,0.1,5,90,manhattan,Optimal without Warm Start,27.527590396361628,12759.212069103105,0.7726060478902946,0.7226416381316592
