DatasetName,proportion,k,time_limit,distance,case,WCSS,WCSS_RAW,Silhouette,Silhouette_RAW
normalized,0.25,3,90,euclidean,Base,87.19452568,14284.57781,0.346682992,0.264704524
normalized,0.25,3,90,euclidean,Optimal without Warm Start,80.04776587,14724.29503,0.561989324,0.551019723
normalized,0.25,3,90,euclidean,Optimal with Warm Start,78.80353456,14998.46023,0.376428921,0.188223495
normalized,0.25,3,180,manhattan,Base,424.6069509,31802.97274,0.346682992,0.264704524
normalized,0.25,3,180,manhattan,Optimal without Warm Start,338.80107,33111.83821,0.569085521,0.497403136
normalized,0.25,3,180,manhattan,Optimal with Warm Start,338.80107,33111.83821,0.36530651,0.319954107
normalized,0.25,3,180,euclidean,Base,87.19452568,14284.57781,0.346682992,0.264704524
normalized,0.25,3,180,euclidean,Optimal without Warm Start,78.80353456,14998.46023,0.376428921,0.188223495
normalized,0.25,3,180,euclidean,Optimal with Warm Start,78.80353456,14998.46023,0.376428921,0.188223495
normalized,0.25,4,30,manhattan,Base,400.8603986,31272.8257,0.315446775,0.23216295
normalized,0.25,4,30,manhattan,Optimal without Warm Start,301.2522821,32118.87231,0.425023927,0.336014218
normalized,0.25,4,30,manhattan,Optimal with Warm Start,293.2077613,31944.33936,0.522835328,0.47647636
normalized,0.25,4,30,euclidean,Base,83.68121342,14273.6108,0.315446775,0.23216295
normalized,0.25,4,30,euclidean,Optimal without Warm Start,68.48336524,14541.27646,0.377227792,0.404308735
normalized,0.25,4,30,euclidean,Optimal with Warm Start,68.43106769,14674.53277,0.558471676,0.497722209
normalized,0.25,4,90,manhattan,Base,400.8603986,31272.8257,0.315446775,0.23216295
normalized,0.25,4,90,manhattan,Optimal without Warm Start,281.8316061,32413.60865,0.454463451,0.465356553
normalized,0.25,4,90,manhattan,Optimal with Warm Start,281.8316061,32413.60865,0.525845933,0.487044023
normalized,0.25,4,90,euclidean,Base,83.68121342,14273.6108,0.315446775,0.23216295
normalized,0.25,4,90,euclidean,Optimal without Warm Start,68.48336524,14541.27646,0.377227792,0.404308735
normalized,0.25,4,90,euclidean,Optimal with Warm Start,67.07046351,14708.68787,0.473629368,0.48094128
normalized,0.25,4,180,manhattan,Base,400.8603986,31272.8257,0.315446775,0.23216295
normalized,0.25,4,180,manhattan,Optimal without Warm Start,281.8316061,32413.60865,0.454463451,0.465356553
normalized,0.25,4,180,manhattan,Optimal with Warm Start,281.8316061,32413.60865,0.525845933,0.487044023
normalized,0.25,4,180,euclidean,Base,83.68121342,14273.6108,0.315446775,0.23216295
normalized,0.25,4,180,euclidean,Optimal without Warm Start,68.48336524,14541.27646,0.377227792,0.404308735
normalized,0.25,4,180,euclidean,Optimal with Warm Start,67.07046351,14708.68787,0.473629368,0.48094128
normalized,0.25,5,30,manhattan,Base,291.2850315,31784.50983,0.417793536,0.362004074
normalized,0.25,5,30,manhattan,Optimal without Warm Start,250.4904052,32251.85682,0.474246709,0.450565714
normalized,0.25,5,30,manhattan,Optimal with Warm Start,268.7307828,32193.34517,0.395345651,0.296547721
normalized,0.25,5,30,euclidean,Base,60.675594,14356.45584,0.417793536,0.362004074
normalized,0.25,5,30,euclidean,Optimal without Warm Start,55.50756125,14541.49012,0.44655089,0.358909132
