DatasetName,proportion,k,time_limit,distance,case,WCSS,WCSS_RAW,Silhouette,Silhouette_RAW
normalized,0.1,5,180,euclidean,Optimal with Warm Start,840.784928169306,55180.98081643936,0.423787738760925,0.28111387823833034
normalized,0.25,3,30,manhattan,Base,17112.578715945798,288153.0241064307,0.4700035102065826,0.2452712792896006
normalized,0.25,3,30,manhattan,Optimal without Warm Start,66385.61811313129,237236.101533403,0.290858635540597,0.2729227121142957
normalized,0.25,3,30,manhattan,Optimal with Warm Start,17747.288697414526,285891.97369812697,0.6921601806634615,0.6194567644637313
normalized,0.25,3,30,euclidean,Base,2993.1972762940964,134927.4201184486,0.4700035102065826,0.2452712792896006
normalized,0.25,3,30,euclidean,Optimal without Warm Start,4852.90822559425,133992.69619558824,0.3389095775146516,0.3269962927594413
normalized,0.25,3,30,euclidean,Optimal with Warm Start,3089.5204526773696,133929.44522235537,0.6921601806634615,0.6194567644637313
normalized,0.25,3,90,manhattan,Base,17112.578715945798,288153.0241064307,0.4700035102065826,0.2452712792896006
normalized,0.25,3,90,manhattan,Optimal without Warm Start,65118.0430639925,233997.85130561018,0.19540805666237637,0.20293649901922267
normalized,0.25,3,90,manhattan,Optimal with Warm Start,17747.288697414526,285891.97369812697,0.6921601806634615,0.6194567644637313
normalized,0.25,3,90,euclidean,Base,2993.1972762940964,134927.4201184486,0.4700035102065826,0.2452712792896006
normalized,0.25,3,90,euclidean,Optimal without Warm Start,4727.7215905619,133951.4655435321,0.3478362624351018,0.33485841417253076
normalized,0.25,3,90,euclidean,Optimal with Warm Start,3089.5204526773696,133929.44522235537,0.6921601806634615,0.6194567644637313
normalized,0.25,3,180,manhattan,Base,17112.578715945798,288153.0241064307,0.4700035102065826,0.2452712792896006
normalized,0.25,3,180,manhattan,Optimal without Warm Start,33240.66749633004,300771.024537149,0.3385332177880765,0.20829041979127016
normalized,0.25,3,180,manhattan,Optimal with Warm Start,17431.69948107478,283732.55091557954,0.6772270956978953,0.5922520286204411
normalized,0.25,3,180,euclidean,Base,2993.1972762940964,134927.4201184486,0.4700035102065826,0.2452712792896006
